,area,perimeter,eccentricity,solidity,lbp_0,lbp_1,lbp_2,lbp_3,lbp_4,lbp_5,lbp_6,lbp_7,mean_intensity,std_intensity,label
1586,1.0,0.0,0.0,1.0,736.0,926.0,683.0,940.0,1128.0,895.0,602.0,58459.0,0.106241167530733,0.2807000582694105,ID4_A1_Regione-0-crop_slice_4/56_label.tif
1587,1.0,0.0,0.0,1.0,213.0,238.0,197.0,234.0,275.0,245.0,156.0,63659.0,0.027537857875449986,0.1478622974991874,ID4_A1_Regione-0-crop_slice_4/50_label.tif
1588,1.0,0.0,0.0,1.0,642.0,777.0,528.0,601.0,691.0,588.0,457.0,60217.0,0.08195795450846355,0.25125096190635704,ID4_A1_Regione-0-crop_slice_4/62_label.tif
1589,1.0,0.0,0.0,1.0,453.0,613.0,456.0,624.0,791.0,625.0,409.0,60808.0,0.07225510270660998,0.23829623198238448,ID4_A1_Regione-0-crop_slice_4/23_label.tif
1590,1.0,0.0,0.0,1.0,161.0,228.0,166.0,248.0,260.0,200.0,131.0,63902.0,0.02366352306291169,0.13853176651343793,ID4_A1_Regione-0-crop_slice_4/63_label.tif
1591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4_A1_Regione-0-crop_slice_4/25_label.tif
1592,1.0,0.0,0.0,1.0,1736.0,2129.0,1577.0,2014.0,2398.0,1951.0,1353.0,49553.0,0.2549126780371573,0.39890824946927383,ID4_A1_Regione-0-crop_slice_4/61_label.tif
1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4_A1_Regione-0-crop_slice_4/8_label.tif
1594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4_A1_Regione-0-crop_slice_4/41_label.tif
1595,1.0,0.0,0.0,1.0,761.0,953.0,762.0,1017.0,1296.0,1011.0,680.0,57838.0,0.11672974469951554,0.2918085570417666,ID4_A1_Regione-0-crop_slice_4/1_label.tif
1596,1.0,0.0,0.0,1.0,833.0,1007.0,802.0,1116.0,1360.0,992.0,660.0,57418.0,0.12739400010052848,0.3090177409837699,ID4_A1_Regione-0-crop_slice_4/24_label.tif
